date,gh07,gh13,gh14,gh15,gh25,gh27,gh28
2020/4/16,0,0,0,0,0,0,0
2020/4/17,0,0,0,0,0,0,0
2020/4/18,0,0,0,0,0,0,0
2020/4/19,0,0,0,0,0,0,0
2020/4/20,0,0,0,0,0,0,0
2020/4/21,0,0,0,0,0,0,0
2020/4/22,0,0,0,0,0,0,0
2020/4/23,0,0,0,0,0,0,0
2020/4/24,0,0,0,0,0,0,0
2020/4/25,0,0,0,0,0,0,0
2020/4/26,0,0,0,0,0,0,0
2020/4/27,0,0,0,0,0,0,0
2020/4/28,0,0,0,0,0,0,0
2020/5/4,0,0,0,0,0,0,0
2020/5/5,0,0,0,0,0,0,0
2020/5/6,0,0,0,0,0,0,0
2020/5/7,0,0,0,0,0,0,0
2020/5/8,0,0,0,0,0,0,0
2020/5/9,0,0,0,0,0,0,0
2020/5/10,0,0,0,0,0,0,0
2020/5/11,0,0,0,0,0,0,0
2020/5/12,0,0,0,0,0,0,0
2020/5/13,0,0,0,0,0,0,0
2020/5/14,0,0,0,0,0,0,0
2020/5/15,0,0,0,0,0,0,0
2020/5/16,0,0,0,0,0,0,0
2020/5/17,0,0,0,0,0,0,0
2020/5/18,0,0,0,0,0,0,0
2020/5/19,0,0,0,0,0,0,0
2020/5/20,0,0,0,0,0,0,0
2020/5/21,0,0,0,0,0,0,0
2020/5/22,0,0,0,0,0,0,0
2020/5/25,0,0,0,0,0,0,0
2020/5/26,0,0,0,0,0,0,0
2020/5/27,0,0,0,0,0,0,0
2020/5/28,0,0,0,0,0,0,0
2020/5/29,0,2.4,3,3,3,3,3
2020/5/30,0,2.4,3,3,3,3,3
2020/5/31,0,0,0,0,0,0,0
2020/6/1,0,0,0,0,0,0,0
2020/6/2,4,4,4.4,4.4,4.4,4.4,4.4
2020/6/3,0,0,0,0,0,0,0
2020/6/4,0,0,0,0,0,0,0
2020/6/5,4,4,0,4,0,4,4
2020/6/6,0,0,4,0,3,0,0
2020/6/7,0,0,0,0,0,0,0
2020/6/8,0,0,0,0,0,0,0
2020/6/9,6,6,0,0,6,6,6
2020/6/10,0,0,6,6,0,0,0
2020/6/11,5,5,5,5.6,0,0,0
2020/6/12,0,0,0,0,0,0,0
2020/6/13,4,4,4,4,4,4,4
2020/6/14,0,0,0,0,0,0,0
2020/6/15,3,3,3,3,3,3,3
2020/6/16,0,0,5,0,0,0,0
2020/6/17,0,0,0,3,3,3,3
2020/6/18,2.4,2.4,3,0,0,0,0
2020/6/19,0,0,0,3,3,3,3
2020/6/20,3,3,3,0,0,0,0
2020/6/21,0,0,0,3,3,3,3
2020/6/22,3,3,3,0,0,0,0
2020/6/23,0,0,0,5.6,5.6,5.6,5.6
2020/6/24,3,0,0,0,0,0,0
2020/6/25,4.4,4.4,5,5,5,4.6,4.6
2020/6/26,4.4,4.4,4.4,4.4,0,0,0
2020/6/27,2.6,0,0,3,3,3,3
2020/6/28,2,2,2,0,0,0,0
2020/6/29,4,4,4,4.4,4.4,4.4,4.4
2020/6/30,4,4,4,4.4,0,0,4.4
2020/7/1,4,4,4,0,4,4,0
2020/7/2,4,4,4,4,4,4,4
2020/7/3,4,4,4,4,4,4,4
2020/7/4,3,3,2.8,4,4,4,4
2020/7/5,0,2.4,0,0,0,0,0
2020/7/6,3,3,3,3,3,0,3
2020/7/7,3,3,0,0,0,0,3
2020/7/8,0,0,0,0,0,0,0
2020/7/9,2.8,2.8,0,0,0,0,0
2020/7/10,0,0,0,0,0,0,0
2020/7/11,2.8,2.8,0,0,0,0,0
2020/7/12,0,0,0,0,0,0,0
2020/7/13,2.8,2.8,0,0,0,0,0
