date,gh01,gh02,gh03,gh04,gh05,gh06,gh07
2020/4/16,0,0,0,0,0,0,0
2020/4/17,0,0,0,0,0,0,0
2020/4/18,0,0,0,0,0,0,0
2020/4/19,0,0,0,0,0,0,0
2020/4/20,0,0,0,0,0,0,0
2020/4/21,0,0,0,0,0,0,0
2020/4/22,0,0,0,0,0,0,0
2020/4/23,0,0,0,0,0,0,0
2020/4/24,0,0,0,0,0,0,0
2020/4/25,0,0,0,0,0,0,0
2020/4/26,0,0,0,0,0,0,0
2020/4/27,0,0,0,0,0,0,0
2020/4/28,0,0,0,0,0,0,0
2020/5/4,0,0,0,0,0,0,0
2020/5/5,0,0,0,0,0,0,0
2020/5/6,0,0,0,0,0,0,0
2020/5/7,0,0,0,0,0,0,0
2020/5/8,0,0,0,0,0,0,0
2020/5/9,0,0,0,0,0,0,0
2020/5/10,0,0,0,0,0,0,0
2020/5/11,0,0,0,0,0,0,0
2020/5/12,0,0,0,0,0,0,0
2020/5/13,0,0,0,0,0,0,0
2020/5/14,0,0,0,0,0,0,0
2020/5/15,0,0,0,0,0,0,0
2020/5/16,0,0,0,0,0,0,0
2020/5/17,0,0,0,0,0,0,0
2020/5/18,0,0,0,0,0,0,0
2020/5/19,0,0,0,0,0,0,0
2020/5/20,0,0,0,0,0,0,0
2020/5/21,0,0,0,0,0,0,0
2020/5/22,0,0,0,0,0,0,0
2020/5/25,0,0,0,0,0,0,0
2020/5/26,0,0,0,0,0,0,0
2020/5/27,0,0,0,0,0,0,0
2020/5/28,0,3.45,3.8532,4.04586,3.86334,3.94446,0
2020/5/29,0,1117.8,214.23792,168.712362,483.303834,986.903892,861.461952
2020/5/30,0,291.41,2051.1868,2017.265796,1498.203252,1311.138504,1266.369728
2020/5/31,0,0,0,0,0,0,0
2020/6/1,0,0,0,0,0,0,0
2020/6/2,195.562,457.815,1131.29952,1120.70322,1048.89681,1048.831914,965.658564
2020/6/3,0,0,0,0,0,0,0
2020/6/4,0,0,0,0,0,0,0
2020/6/5,864.85,1433.475,0,2353.476762,0,1857.446214,1850.748744
2020/6/6,0,0,2561.60736,0,2215.239156,0,0
2020/6/7,0,0,0,0,0,0,0
2020/6/8,0,0,0,0,0,0,0
2020/6/9,2305.443,2580.255,0,0,3424.464576,4370.46168,3755.33886
2020/6/10,0,0,4909.74744,5043.16449,0,0,0
2020/6/11,1514.37,1883.7,1601.081664,2241.40644,0,0,0
2020/6/12,0,0,0,0,0,0,0
2020/6/13,1907.259,1443.825,3095.27556,3586.250304,4494.609756,5572.338642,4720.997424
2020/6/14,0,0,0,0,0,0,0
2020/6/15,2012.1,1637.6,2147.5168,2459.88288,1957.168044,1598.82112,1913.49912
2020/6/16,0,0,1757.0592,0,0,0,0
2020/6/17,0,0,0,2039.11344,2028.2535,2026.663548,2788.9056
2020/6/18,3755.92,3933,2831.07448,0,0,0,0
2020/6/19,0,0,0,2440.462752,3403.60254,2524.4544,2561.144976
2020/6/20,2202.72,2739.07,2855.2212,0,0,0,0
2020/6/21,0,0,0,2840.19372,3013.4052,3186.071824,3096.976376
2020/6/22,2414.52,1966.5,2899.14768,0,0,0,0
2020/6/23,0,0,0,3459.2103,4207.17726,3995.73798,3826.99824
2020/6/24,2280.38,0,0,0,0,0,0
2020/6/25,0,2228.7,3886.302492,1844.91216,3523.36608,3797.259924,4023.31325
2020/6/26,2118,1518,4002.248783,3894.875861,0,0,0
2020/6/27,0,0,0,2357.38776,3914.8512,3597.34752,3826.99824
2020/6/28,2213.31,1442.1,3993.07116,0,0,0,0
2020/6/29,1743.82,1900.95,0,2665.007982,3716.53308,3597.34752,3826.99824
2020/6/30,1341.4,1179.9,3514.1184,3228.59628,0,0,1942.937568
2020/7/1,2642.558,2058.27,2146.2324,0,5578.66296,3447.45804,0
2020/7/2,1475.54,1481.43,878.5296,2767.36824,1468.0692,899.33688,3434.614716
2020/7/3,536.56,786.6,732.108,1076.19876,1394.66574,1341.1164,883.15344
2020/7/4,1609.68,1573.2,585.6864,461.22804,748.715292,157.7784,588.76896
2020/7/5,0,0,0,0,0,0,0
2020/7/6,1582.852,1691.19,1268.9872,820.230684,880.84152,0,588.76896
2020/7/7,831.668,655.5,0,0,0,0,294.38448
2020/7/8,0,0,0,0,0,0,0
2020/7/9,670.7,393.3,0,0,0,0,0
2020/7/10,0,0,0,0,0,0,0
2020/7/11,670.7,655.5,0,0,0,0,0
2020/7/12,0,0,0,0,0,0,0
2020/7/13,402.42,393.3,0,0,0,0,0
