date,gh01,gh02,gh03,gh04,gh05,gh06,gh07
2020/4/16,0,0,0,0,0,0,0
2020/4/17,0,0,0,0,0,0,0
2020/4/18,0,0,0,0,0,0,0
2020/4/19,0,0,0,0,0,0,0
2020/4/20,0,0,0,0,0,0,0
2020/4/21,0,0,0,0,0,0,0
2020/4/22,0,0,0,0,0,0,0
2020/4/23,0,0,0,0,0,0,0
2020/4/24,0,0,0,0,0,0,0
2020/4/25,0,0,0,0,0,0,0
2020/4/26,0,0,0,0,0,0,0
2020/4/27,0,0,0,0,0,0,0
2020/4/28,0,0,0,0,0,0,0
2020/5/4,0,0,0,0,0,0,0
2020/5/5,0,0,0,0,0,0,0
2020/5/6,0,0,0,0,0,0,0
2020/5/7,0,0,0,0,0,0,0
2020/5/8,0,0,0,0,0,0,0
2020/5/9,0,0,0,0,0,0,0
2020/5/10,0,0,0,0,0,0,0
2020/5/11,0,0,0,0,0,0,0
2020/5/12,0,0,0,0,0,0,0
2020/5/13,0,0,0,0,0,0,0
2020/5/14,0,0,0,0,0,0,0
2020/5/15,0,0,0,0,0,0,0
2020/5/16,0,0,0,0,0,0,0
2020/5/17,0,0,0,0,0,0,0
2020/5/18,0,0,0,0,0,0,0
2020/5/19,0,0,0,0,0,0,0
2020/5/20,0,0,0,0,0,0,0
2020/5/21,0,0,0,0,0,0,0
2020/5/22,0,0,0,0,0,0,0
2020/5/25,0,0,0,0,0,0,0
2020/5/26,0,0,0,0,0,0,0
2020/5/27,0,0,0,0,0,0,0
2020/5/28,0,324,55.60000001,41.7,125.1,250.2,0
2020/5/29,0,0,0,0,0,0,222.4
2020/5/30,0,83.09999998,526.2999999,498.6,387.8,332.4,326.9
2020/5/31,0,0,0,0,0,0,0
2020/6/1,0,0,0,0,0,0,0
2020/6/2,55.39999999,132.7,293.6,277,271.5,265.9,249.3
2020/6/3,0,0,0,0,0,0,0
2020/6/4,0,0,0,0,0,0,0
2020/6/5,245,415.5,0,581.6999999,0,470.9,477.8
2020/6/6,0,0,664.8000002,0,573.3999998,0,0
2020/6/7,0,0,0,0,0,0,0
2020/6/8,0,0,0,0,0,0,0
2020/6/9,653.1,747.9000001,0,0,886.3999998,1108,969.5000001
2020/6/10,0,0,1274.2,1246.5,0,0,0
2020/6/11,429,546.0000002,415.2,554.0000002,0,0,0
2020/6/12,0,0,0,0,0,0,0
2020/6/13,540.3,418.5,803.3,886.3999998,1163.4,1412.7,1218.8
2020/6/14,0,0,0,0,0,0,0
2020/6/15,569.9999998,607.9999999,557.2999998,607.9999998,506.6,405.3,494
2020/6/16,0,0,456,0,0,0,0
2020/6/17,0,0,0,504,525.0000002,513.8000001,719.9999999
2020/6/18,1064,1140,734.7,0,0,0,0
2020/6/19,0,0,0,603.2000001,881.0000001,639.9999999,661.2000001
2020/6/20,623.9999998,793.8999999,741.0000002,0,0,0,0
2020/6/21,0,0,0,702.0000002,779.9999998,807.7,799.5
2020/6/22,684,569.9999998,752.4000002,0,0,0,0
2020/6/23,0,0,0,855.0000002,1089,1013,988.0000001
2020/6/24,646,646,1008.6,0,0,0,0
2020/6/25,0,646,0,456,912,962.7,1038.7
2020/6/26,600.0000002,440,1038.7,962.7,0,0,0
2020/6/27,0,0,0,582.7000002,1013.3,912,988.0000001
2020/6/28,626.9999999,418,1036.3,0,0,0,0
2020/6/29,494.0000001,551.0000002,0,658.6999998,961.9999998,912,988.0000001
2020/6/30,380,342,912,798,0,0,501.6
2020/7/1,748.5999998,596.5999999,556.9999998,0,1444,874.0000001,0
2020/7/2,418,429.4,228,684,380,228,886.6999998
2020/7/3,152,228,190,266,361,340,228
2020/7/4,456,456,152,114,193.8,40,152
2020/7/5,0,0,0,0,0,0,0
2020/7/6,448.4,490.1999998,329.3,202.7,228,0,152
2020/7/7,235.6,190,0,0,0,0,76.00000001
2020/7/8,0,0,0,0,0,0,0
2020/7/9,190,114,0,0,0,0,0
2020/7/10,0,0,0,0,0,0,0
2020/7/11,190,190,0,0,0,0,0
2020/7/12,0,0,0,0,0,0,0
2020/7/13,114,114,0,0,0,0,0
