2020-12-03 13:59:21.075194: iter: [1/100], train_loss: 0.0520188, valid_loss: 0.0038841, best_valid_loss: 0.0038841, lr: 0.0001000
2020-12-03 13:59:24.601288: iter: [2/100], train_loss: 0.0039109, valid_loss: 0.0038062, best_valid_loss: 0.0038062, lr: 0.0001000
2020-12-03 13:59:28.024776: iter: [3/100], train_loss: 0.0038681, valid_loss: 0.0037764, best_valid_loss: 0.0037764, lr: 0.0001000
2020-12-03 13:59:31.396609: iter: [4/100], train_loss: 0.0038654, valid_loss: 0.0037608, best_valid_loss: 0.0037608, lr: 0.0001000
2020-12-03 13:59:34.794190: iter: [5/100], train_loss: 0.0038595, valid_loss: 0.0038438, best_valid_loss: 0.0037608, lr: 0.0001000
2020-12-03 13:59:38.009249: iter: [6/100], train_loss: 0.0038165, valid_loss: 0.0038954, best_valid_loss: 0.0037608, lr: 0.0001000
2020-12-03 13:59:41.228168: iter: [7/100], train_loss: 0.0038180, valid_loss: 0.0037065, best_valid_loss: 0.0037065, lr: 0.0001000
2020-12-03 13:59:44.446928: iter: [8/100], train_loss: 0.0037846, valid_loss: 0.0036693, best_valid_loss: 0.0036693, lr: 0.0001000
2020-12-03 13:59:47.515133: iter: [9/100], train_loss: 0.0038020, valid_loss: 0.0036238, best_valid_loss: 0.0036238, lr: 0.0001000
2020-12-03 13:59:50.579269: iter: [10/100], train_loss: 0.0037660, valid_loss: 0.0039853, best_valid_loss: 0.0036238, lr: 0.0001000
2020-12-03 13:59:53.864662: iter: [11/100], train_loss: 0.0037766, valid_loss: 0.0037834, best_valid_loss: 0.0036238, lr: 0.0001000
2020-12-03 13:59:57.079471: iter: [12/100], train_loss: 0.0037728, valid_loss: 0.0037057, best_valid_loss: 0.0036238, lr: 0.0001000
2020-12-03 14:00:00.021560: iter: [13/100], train_loss: 0.0037519, valid_loss: 0.0037120, best_valid_loss: 0.0036238, lr: 0.0001000
2020-12-03 14:00:03.424538: iter: [14/100], train_loss: 0.0037612, valid_loss: 0.0036341, best_valid_loss: 0.0036238, lr: 0.0001000
2020-12-03 14:00:06.893384: iter: [15/100], train_loss: 0.0037326, valid_loss: 0.0039207, best_valid_loss: 0.0036238, lr: 0.0001000
2020-12-03 14:00:10.098287: iter: [16/100], train_loss: 0.0037282, valid_loss: 0.0039095, best_valid_loss: 0.0036238, lr: 0.0001000
2020-12-03 14:00:13.367116: iter: [17/100], train_loss: 0.0037538, valid_loss: 0.0036439, best_valid_loss: 0.0036238, lr: 0.0001000
2020-12-03 14:00:16.335129: iter: [18/100], train_loss: 0.0037087, valid_loss: 0.0037279, best_valid_loss: 0.0036238, lr: 0.0001000
2020-12-03 14:00:19.595879: iter: [19/100], train_loss: 0.0037587, valid_loss: 0.0035981, best_valid_loss: 0.0035981, lr: 0.0001000
2020-12-03 14:00:22.899472: iter: [20/100], train_loss: 0.0037020, valid_loss: 0.0036177, best_valid_loss: 0.0035981, lr: 0.0001000
2020-12-03 14:00:26.300396: iter: [21/100], train_loss: 0.0036527, valid_loss: 0.0035538, best_valid_loss: 0.0035538, lr: 0.0001000
2020-12-03 14:00:29.807034: iter: [22/100], train_loss: 0.0036332, valid_loss: 0.0036842, best_valid_loss: 0.0035538, lr: 0.0001000
2020-12-03 14:00:33.222532: iter: [23/100], train_loss: 0.0036262, valid_loss: 0.0035451, best_valid_loss: 0.0035451, lr: 0.0001000
2020-12-03 14:00:36.635092: iter: [24/100], train_loss: 0.0036814, valid_loss: 0.0036534, best_valid_loss: 0.0035451, lr: 0.0001000
2020-12-03 14:00:40.043671: iter: [25/100], train_loss: 0.0036253, valid_loss: 0.0035747, best_valid_loss: 0.0035451, lr: 0.0001000
2020-12-03 14:00:43.281412: iter: [26/100], train_loss: 0.0036126, valid_loss: 0.0036083, best_valid_loss: 0.0035451, lr: 0.0001000
2020-12-03 14:00:46.333031: iter: [27/100], train_loss: 0.0036064, valid_loss: 0.0034981, best_valid_loss: 0.0034981, lr: 0.0001000
2020-12-03 14:00:49.526539: iter: [28/100], train_loss: 0.0035784, valid_loss: 0.0038079, best_valid_loss: 0.0034981, lr: 0.0001000
2020-12-03 14:00:52.836494: iter: [29/100], train_loss: 0.0035474, valid_loss: 0.0034530, best_valid_loss: 0.0034530, lr: 0.0001000
2020-12-03 14:00:56.330729: iter: [30/100], train_loss: 0.0035367, valid_loss: 0.0036166, best_valid_loss: 0.0034530, lr: 0.0001000
2020-12-03 14:00:59.849016: iter: [31/100], train_loss: 0.0035253, valid_loss: 0.0036631, best_valid_loss: 0.0034530, lr: 0.0001000
2020-12-03 14:01:03.047246: iter: [32/100], train_loss: 0.0034942, valid_loss: 0.0033543, best_valid_loss: 0.0033543, lr: 0.0001000
2020-12-03 14:01:06.546437: iter: [33/100], train_loss: 0.0035028, valid_loss: 0.0033332, best_valid_loss: 0.0033332, lr: 0.0001000
2020-12-03 14:01:09.439214: iter: [34/100], train_loss: 0.0034274, valid_loss: 0.0033224, best_valid_loss: 0.0033224, lr: 0.0001000
2020-12-03 14:01:12.792376: iter: [35/100], train_loss: 0.0034154, valid_loss: 0.0033297, best_valid_loss: 0.0033224, lr: 0.0001000
2020-12-03 14:01:15.880139: iter: [36/100], train_loss: 0.0033918, valid_loss: 0.0034033, best_valid_loss: 0.0033224, lr: 0.0001000
2020-12-03 14:01:19.270202: iter: [37/100], train_loss: 0.0033767, valid_loss: 0.0033652, best_valid_loss: 0.0033224, lr: 0.0001000
2020-12-03 14:01:22.423916: iter: [38/100], train_loss: 0.0033333, valid_loss: 0.0031742, best_valid_loss: 0.0031742, lr: 0.0001000
2020-12-03 14:01:25.653689: iter: [39/100], train_loss: 0.0033329, valid_loss: 0.0032573, best_valid_loss: 0.0031742, lr: 0.0001000
2020-12-03 14:01:28.645475: iter: [40/100], train_loss: 0.0032575, valid_loss: 0.0032271, best_valid_loss: 0.0031742, lr: 0.0001000
2020-12-03 14:01:31.765916: iter: [41/100], train_loss: 0.0032620, valid_loss: 0.0032097, best_valid_loss: 0.0031742, lr: 0.0001000
2020-12-03 14:01:34.965719: iter: [42/100], train_loss: 0.0032023, valid_loss: 0.0035206, best_valid_loss: 0.0031742, lr: 0.0001000
2020-12-03 14:01:38.317130: iter: [43/100], train_loss: 0.0031700, valid_loss: 0.0031246, best_valid_loss: 0.0031246, lr: 0.0001000
2020-12-03 14:01:41.790194: iter: [44/100], train_loss: 0.0031788, valid_loss: 0.0031473, best_valid_loss: 0.0031246, lr: 0.0001000
2020-12-03 14:01:44.967477: iter: [45/100], train_loss: 0.0031645, valid_loss: 0.0030458, best_valid_loss: 0.0030458, lr: 0.0001000
2020-12-03 14:01:48.399938: iter: [46/100], train_loss: 0.0030895, valid_loss: 0.0030284, best_valid_loss: 0.0030284, lr: 0.0001000
2020-12-03 14:01:51.786454: iter: [47/100], train_loss: 0.0030719, valid_loss: 0.0030330, best_valid_loss: 0.0030284, lr: 0.0001000
2020-12-03 14:01:54.889426: iter: [48/100], train_loss: 0.0030366, valid_loss: 0.0030138, best_valid_loss: 0.0030138, lr: 0.0001000
2020-12-03 14:01:58.082346: iter: [49/100], train_loss: 0.0030236, valid_loss: 0.0029852, best_valid_loss: 0.0029852, lr: 0.0001000
2020-12-03 14:02:01.373838: iter: [50/100], train_loss: 0.0029992, valid_loss: 0.0029708, best_valid_loss: 0.0029708, lr: 0.0001000
2020-12-03 14:02:04.871814: iter: [51/100], train_loss: 0.0028251, valid_loss: 0.0028248, best_valid_loss: 0.0028248, lr: 0.0000100
2020-12-03 14:02:08.013114: iter: [52/100], train_loss: 0.0028060, valid_loss: 0.0028157, best_valid_loss: 0.0028157, lr: 0.0000100
2020-12-03 14:02:11.357378: iter: [53/100], train_loss: 0.0027990, valid_loss: 0.0028087, best_valid_loss: 0.0028087, lr: 0.0000100
2020-12-03 14:02:14.786425: iter: [54/100], train_loss: 0.0027998, valid_loss: 0.0028040, best_valid_loss: 0.0028040, lr: 0.0000100
2020-12-03 14:02:18.110005: iter: [55/100], train_loss: 0.0027937, valid_loss: 0.0027966, best_valid_loss: 0.0027966, lr: 0.0000100
2020-12-03 14:02:21.288933: iter: [56/100], train_loss: 0.0027884, valid_loss: 0.0027901, best_valid_loss: 0.0027901, lr: 0.0000100
2020-12-03 14:02:24.572803: iter: [57/100], train_loss: 0.0027868, valid_loss: 0.0028035, best_valid_loss: 0.0027901, lr: 0.0000100
2020-12-03 14:02:27.970071: iter: [58/100], train_loss: 0.0027835, valid_loss: 0.0027824, best_valid_loss: 0.0027824, lr: 0.0000100
2020-12-03 14:02:31.231605: iter: [59/100], train_loss: 0.0027773, valid_loss: 0.0027763, best_valid_loss: 0.0027763, lr: 0.0000100
2020-12-03 14:02:34.517248: iter: [60/100], train_loss: 0.0027769, valid_loss: 0.0028121, best_valid_loss: 0.0027763, lr: 0.0000100
2020-12-03 14:02:37.660878: iter: [61/100], train_loss: 0.0027791, valid_loss: 0.0027974, best_valid_loss: 0.0027763, lr: 0.0000100
2020-12-03 14:02:40.968009: iter: [62/100], train_loss: 0.0027646, valid_loss: 0.0027725, best_valid_loss: 0.0027725, lr: 0.0000100
2020-12-03 14:02:44.389472: iter: [63/100], train_loss: 0.0027643, valid_loss: 0.0028037, best_valid_loss: 0.0027725, lr: 0.0000100
2020-12-03 14:02:47.628011: iter: [64/100], train_loss: 0.0027553, valid_loss: 0.0027739, best_valid_loss: 0.0027725, lr: 0.0000100
2020-12-03 14:02:51.126298: iter: [65/100], train_loss: 0.0027536, valid_loss: 0.0027836, best_valid_loss: 0.0027725, lr: 0.0000100
2020-12-03 14:02:54.467048: iter: [66/100], train_loss: 0.0027581, valid_loss: 0.0027640, best_valid_loss: 0.0027640, lr: 0.0000100
2020-12-03 14:02:57.701931: iter: [67/100], train_loss: 0.0027537, valid_loss: 0.0027464, best_valid_loss: 0.0027464, lr: 0.0000100
2020-12-03 14:03:01.212999: iter: [68/100], train_loss: 0.0027457, valid_loss: 0.0027483, best_valid_loss: 0.0027464, lr: 0.0000100
2020-12-03 14:03:04.427638: iter: [69/100], train_loss: 0.0027419, valid_loss: 0.0027882, best_valid_loss: 0.0027464, lr: 0.0000100
2020-12-03 14:03:07.656346: iter: [70/100], train_loss: 0.0027415, valid_loss: 0.0027656, best_valid_loss: 0.0027464, lr: 0.0000100
2020-12-03 14:03:11.002196: iter: [71/100], train_loss: 0.0027316, valid_loss: 0.0027497, best_valid_loss: 0.0027464, lr: 0.0000100
2020-12-03 14:03:14.377463: iter: [72/100], train_loss: 0.0027308, valid_loss: 0.0027627, best_valid_loss: 0.0027464, lr: 0.0000100
2020-12-03 14:03:17.735114: iter: [73/100], train_loss: 0.0027285, valid_loss: 0.0027471, best_valid_loss: 0.0027464, lr: 0.0000100
2020-12-03 14:03:21.063612: iter: [74/100], train_loss: 0.0027197, valid_loss: 0.0027435, best_valid_loss: 0.0027435, lr: 0.0000100
2020-12-03 14:03:24.558101: iter: [75/100], train_loss: 0.0027218, valid_loss: 0.0027334, best_valid_loss: 0.0027334, lr: 0.0000100
2020-12-03 14:03:27.832318: iter: [76/100], train_loss: 0.0026942, valid_loss: 0.0027182, best_valid_loss: 0.0027182, lr: 0.0000010
2020-12-03 14:03:31.021590: iter: [77/100], train_loss: 0.0026933, valid_loss: 0.0027192, best_valid_loss: 0.0027182, lr: 0.0000010
2020-12-03 14:03:34.083792: iter: [78/100], train_loss: 0.0026877, valid_loss: 0.0027160, best_valid_loss: 0.0027160, lr: 0.0000010
2020-12-03 14:03:37.366313: iter: [79/100], train_loss: 0.0026892, valid_loss: 0.0027215, best_valid_loss: 0.0027160, lr: 0.0000010
2020-12-03 14:03:40.537925: iter: [80/100], train_loss: 0.0026892, valid_loss: 0.0027252, best_valid_loss: 0.0027160, lr: 0.0000010
2020-12-03 14:03:43.593572: iter: [81/100], train_loss: 0.0026863, valid_loss: 0.0027209, best_valid_loss: 0.0027160, lr: 0.0000010
2020-12-03 14:03:46.642669: iter: [82/100], train_loss: 0.0026895, valid_loss: 0.0027085, best_valid_loss: 0.0027085, lr: 0.0000010
2020-12-03 14:03:49.709430: iter: [83/100], train_loss: 0.0026865, valid_loss: 0.0027069, best_valid_loss: 0.0027069, lr: 0.0000010
2020-12-03 14:03:53.028733: iter: [84/100], train_loss: 0.0026886, valid_loss: 0.0027255, best_valid_loss: 0.0027069, lr: 0.0000010
2020-12-03 14:03:55.912824: iter: [85/100], train_loss: 0.0026873, valid_loss: 0.0027338, best_valid_loss: 0.0027069, lr: 0.0000010
2020-12-03 14:03:59.196818: iter: [86/100], train_loss: 0.0026865, valid_loss: 0.0027136, best_valid_loss: 0.0027069, lr: 0.0000010
2020-12-03 14:04:02.200858: iter: [87/100], train_loss: 0.0026845, valid_loss: 0.0027238, best_valid_loss: 0.0027069, lr: 0.0000010
2020-12-03 14:04:05.321764: iter: [88/100], train_loss: 0.0026865, valid_loss: 0.0027013, best_valid_loss: 0.0027013, lr: 0.0000010
2020-12-03 14:04:08.794222: iter: [89/100], train_loss: 0.0026880, valid_loss: 0.0027208, best_valid_loss: 0.0027013, lr: 0.0000010
2020-12-03 14:04:12.148392: iter: [90/100], train_loss: 0.0026871, valid_loss: 0.0027110, best_valid_loss: 0.0027013, lr: 0.0000010
2020-12-03 14:04:15.388807: iter: [91/100], train_loss: 0.0026864, valid_loss: 0.0027246, best_valid_loss: 0.0027013, lr: 0.0000010
2020-12-03 14:04:18.525535: iter: [92/100], train_loss: 0.0026833, valid_loss: 0.0027160, best_valid_loss: 0.0027013, lr: 0.0000010
2020-12-03 14:04:21.860597: iter: [93/100], train_loss: 0.0026872, valid_loss: 0.0027242, best_valid_loss: 0.0027013, lr: 0.0000010
2020-12-03 14:04:25.071382: iter: [94/100], train_loss: 0.0026834, valid_loss: 0.0027347, best_valid_loss: 0.0027013, lr: 0.0000010
2020-12-03 14:04:28.513774: iter: [95/100], train_loss: 0.0026802, valid_loss: 0.0027182, best_valid_loss: 0.0027013, lr: 0.0000010
2020-12-03 14:04:31.964790: iter: [96/100], train_loss: 0.0026837, valid_loss: 0.0026991, best_valid_loss: 0.0026991, lr: 0.0000010
2020-12-03 14:04:35.313126: iter: [97/100], train_loss: 0.0026823, valid_loss: 0.0027078, best_valid_loss: 0.0026991, lr: 0.0000010
2020-12-03 14:04:38.722917: iter: [98/100], train_loss: 0.0026817, valid_loss: 0.0027076, best_valid_loss: 0.0026991, lr: 0.0000010
2020-12-03 14:04:41.950000: iter: [99/100], train_loss: 0.0026834, valid_loss: 0.0027214, best_valid_loss: 0.0026991, lr: 0.0000010
2020-12-03 14:04:45.270973: iter: [100/100], train_loss: 0.0026820, valid_loss: 0.0027090, best_valid_loss: 0.0026991, lr: 0.0000010
