2020-12-02 22:20:06.556042: iter: [1/100], train_loss: 0.0065018, valid_loss: 0.0000556, best_valid_loss: 0.0000556, lr: 0.0001000
2020-12-02 22:21:20.672645: iter: [2/100], train_loss: 0.0000464, valid_loss: 0.0000634, best_valid_loss: 0.0000556, lr: 0.0001000
2020-12-02 22:22:34.059907: iter: [3/100], train_loss: 0.0000349, valid_loss: 0.0000473, best_valid_loss: 0.0000473, lr: 0.0001000
2020-12-02 22:23:48.143886: iter: [4/100], train_loss: 0.0000290, valid_loss: 0.0000290, best_valid_loss: 0.0000290, lr: 0.0001000
2020-12-02 22:25:01.362585: iter: [5/100], train_loss: 0.0000255, valid_loss: 0.0000334, best_valid_loss: 0.0000290, lr: 0.0001000
2020-12-02 22:26:14.213238: iter: [6/100], train_loss: 0.0000227, valid_loss: 0.0000283, best_valid_loss: 0.0000283, lr: 0.0001000
2020-12-02 22:27:25.849003: iter: [7/100], train_loss: 0.0000207, valid_loss: 0.0000103, best_valid_loss: 0.0000103, lr: 0.0001000
2020-12-02 22:28:37.999512: iter: [8/100], train_loss: 0.0000189, valid_loss: 0.0000160, best_valid_loss: 0.0000103, lr: 0.0001000
2020-12-02 22:29:52.839295: iter: [9/100], train_loss: 0.0000174, valid_loss: 0.0000105, best_valid_loss: 0.0000103, lr: 0.0001000
2020-12-02 22:31:06.038465: iter: [10/100], train_loss: 0.0000163, valid_loss: 0.0000127, best_valid_loss: 0.0000103, lr: 0.0001000
2020-12-02 22:32:20.846174: iter: [11/100], train_loss: 0.0000152, valid_loss: 0.0000102, best_valid_loss: 0.0000102, lr: 0.0001000
2020-12-02 22:33:35.084636: iter: [12/100], train_loss: 0.0000142, valid_loss: 0.0000096, best_valid_loss: 0.0000096, lr: 0.0001000
2020-12-02 22:34:49.064763: iter: [13/100], train_loss: 0.0000135, valid_loss: 0.0000097, best_valid_loss: 0.0000096, lr: 0.0001000
2020-12-02 22:36:04.392761: iter: [14/100], train_loss: 0.0000127, valid_loss: 0.0000150, best_valid_loss: 0.0000096, lr: 0.0001000
2020-12-02 22:37:18.367636: iter: [15/100], train_loss: 0.0000121, valid_loss: 0.0000235, best_valid_loss: 0.0000096, lr: 0.0001000
2020-12-02 22:38:30.710447: iter: [16/100], train_loss: 0.0000116, valid_loss: 0.0000065, best_valid_loss: 0.0000065, lr: 0.0001000
2020-12-02 22:39:44.014332: iter: [17/100], train_loss: 0.0000109, valid_loss: 0.0000055, best_valid_loss: 0.0000055, lr: 0.0001000
2020-12-02 22:40:56.074044: iter: [18/100], train_loss: 0.0000104, valid_loss: 0.0000043, best_valid_loss: 0.0000043, lr: 0.0001000
2020-12-02 22:42:09.205123: iter: [19/100], train_loss: 0.0000100, valid_loss: 0.0000067, best_valid_loss: 0.0000043, lr: 0.0001000
2020-12-02 22:43:22.482153: iter: [20/100], train_loss: 0.0000096, valid_loss: 0.0000041, best_valid_loss: 0.0000041, lr: 0.0001000
2020-12-02 22:44:35.912086: iter: [21/100], train_loss: 0.0000094, valid_loss: 0.0000089, best_valid_loss: 0.0000041, lr: 0.0001000
2020-12-02 22:45:49.519116: iter: [22/100], train_loss: 0.0000089, valid_loss: 0.0000065, best_valid_loss: 0.0000041, lr: 0.0001000
2020-12-02 22:47:04.378415: iter: [23/100], train_loss: 0.0000087, valid_loss: 0.0000188, best_valid_loss: 0.0000041, lr: 0.0001000
2020-12-02 22:48:18.617957: iter: [24/100], train_loss: 0.0000083, valid_loss: 0.0000032, best_valid_loss: 0.0000032, lr: 0.0001000
2020-12-02 22:49:33.964766: iter: [25/100], train_loss: 0.0000081, valid_loss: 0.0000128, best_valid_loss: 0.0000032, lr: 0.0001000
2020-12-02 22:50:46.735527: iter: [26/100], train_loss: 0.0000078, valid_loss: 0.0000123, best_valid_loss: 0.0000032, lr: 0.0001000
2020-12-02 22:51:59.407996: iter: [27/100], train_loss: 0.0000075, valid_loss: 0.0000071, best_valid_loss: 0.0000032, lr: 0.0001000
2020-12-02 22:53:13.063760: iter: [28/100], train_loss: 0.0000073, valid_loss: 0.0000100, best_valid_loss: 0.0000032, lr: 0.0001000
2020-12-02 22:54:28.498769: iter: [29/100], train_loss: 0.0000071, valid_loss: 0.0000061, best_valid_loss: 0.0000032, lr: 0.0001000
2020-12-02 22:55:43.980705: iter: [30/100], train_loss: 0.0000069, valid_loss: 0.0000033, best_valid_loss: 0.0000032, lr: 0.0001000
2020-12-02 22:56:58.548333: iter: [31/100], train_loss: 0.0000066, valid_loss: 0.0000051, best_valid_loss: 0.0000032, lr: 0.0001000
2020-12-02 22:58:11.346887: iter: [32/100], train_loss: 0.0000064, valid_loss: 0.0000065, best_valid_loss: 0.0000032, lr: 0.0001000
2020-12-02 22:59:25.405871: iter: [33/100], train_loss: 0.0000063, valid_loss: 0.0000035, best_valid_loss: 0.0000032, lr: 0.0001000
2020-12-02 23:00:38.909386: iter: [34/100], train_loss: 0.0000062, valid_loss: 0.0000082, best_valid_loss: 0.0000032, lr: 0.0001000
2020-12-02 23:01:51.360119: iter: [35/100], train_loss: 0.0000060, valid_loss: 0.0000059, best_valid_loss: 0.0000032, lr: 0.0001000
