2020-12-02 22:18:26.893380: iter: [1/100], train_loss: 0.0682658, valid_loss: 0.0467258, best_valid_loss: 0.0467258, lr: 0.0001000
2020-12-02 22:19:42.093286: iter: [2/100], train_loss: 0.0416246, valid_loss: 0.0381750, best_valid_loss: 0.0381750, lr: 0.0001000
2020-12-02 22:20:54.414961: iter: [3/100], train_loss: 0.0344311, valid_loss: 0.0323843, best_valid_loss: 0.0323843, lr: 0.0001000
2020-12-02 22:22:07.185834: iter: [4/100], train_loss: 0.0303830, valid_loss: 0.0296851, best_valid_loss: 0.0296851, lr: 0.0001000
2020-12-02 22:23:19.638285: iter: [5/100], train_loss: 0.0276909, valid_loss: 0.0288760, best_valid_loss: 0.0288760, lr: 0.0001000
2020-12-02 22:24:32.121793: iter: [6/100], train_loss: 0.0257587, valid_loss: 0.0250377, best_valid_loss: 0.0250377, lr: 0.0001000
2020-12-02 22:25:44.255079: iter: [7/100], train_loss: 0.0242246, valid_loss: 0.0235533, best_valid_loss: 0.0235533, lr: 0.0001000
2020-12-02 22:26:58.105442: iter: [8/100], train_loss: 0.0230066, valid_loss: 0.0227444, best_valid_loss: 0.0227444, lr: 0.0001000
2020-12-02 22:28:09.947361: iter: [9/100], train_loss: 0.0219865, valid_loss: 0.0212340, best_valid_loss: 0.0212340, lr: 0.0001000
2020-12-02 22:29:22.800997: iter: [10/100], train_loss: 0.0211145, valid_loss: 0.0209516, best_valid_loss: 0.0209516, lr: 0.0001000
2020-12-02 22:30:36.813479: iter: [11/100], train_loss: 0.0203571, valid_loss: 0.0198380, best_valid_loss: 0.0198380, lr: 0.0001000
2020-12-02 22:31:51.166191: iter: [12/100], train_loss: 0.0197228, valid_loss: 0.0194364, best_valid_loss: 0.0194364, lr: 0.0001000
2020-12-02 22:33:05.346680: iter: [13/100], train_loss: 0.0191475, valid_loss: 0.0195093, best_valid_loss: 0.0194364, lr: 0.0001000
2020-12-02 22:34:17.181591: iter: [14/100], train_loss: 0.0186184, valid_loss: 0.0183155, best_valid_loss: 0.0183155, lr: 0.0001000
2020-12-02 22:35:29.575928: iter: [15/100], train_loss: 0.0181519, valid_loss: 0.0183079, best_valid_loss: 0.0183079, lr: 0.0001000
2020-12-02 22:36:43.157486: iter: [16/100], train_loss: 0.0177435, valid_loss: 0.0179163, best_valid_loss: 0.0179163, lr: 0.0001000
2020-12-02 22:37:57.393278: iter: [17/100], train_loss: 0.0173451, valid_loss: 0.0171896, best_valid_loss: 0.0171896, lr: 0.0001000
2020-12-02 22:39:10.797202: iter: [18/100], train_loss: 0.0169889, valid_loss: 0.0173604, best_valid_loss: 0.0171896, lr: 0.0001000
2020-12-02 22:40:23.183896: iter: [19/100], train_loss: 0.0166828, valid_loss: 0.0165062, best_valid_loss: 0.0165062, lr: 0.0001000
2020-12-02 22:41:35.593828: iter: [20/100], train_loss: 0.0163401, valid_loss: 0.0163272, best_valid_loss: 0.0163272, lr: 0.0001000
2020-12-02 22:42:48.973178: iter: [21/100], train_loss: 0.0160707, valid_loss: 0.0158655, best_valid_loss: 0.0158655, lr: 0.0001000
2020-12-02 22:44:02.877156: iter: [22/100], train_loss: 0.0157899, valid_loss: 0.0155415, best_valid_loss: 0.0155415, lr: 0.0001000
