PAR,AirT,AirRh,AirCO2,LAI,PlantLoad, NetGrouwth,FW,score
1.000,0.990,0.958,0.990,0.900,0.924,0.962,0.891,0.952
1.000,0.992,0.954,0.992,0.819,0.843,0.928,0.884,0.927
1.000,0.992,0.958,0.991,0.866,0.873,0.902,0.838,0.928
1.000,0.993,0.954,0.990,0.854,0.889,0.950,0.830,0.933
1.000,0.992,0.953,0.991,0.619,0.864,0.945,0.842,0.901
1.000,0.992,0.964,0.991,0.889,0.899,0.923,0.850,0.938
1.000,0.992,0.954,0.991,0.681,0.912,0.974,0.922,0.928
1.000,0.993,0.946,0.988,0.222,0.924,0.920,0.856,0.856
1.000,0.990,0.936,0.989,0.695,0.763,0.867,0.704,0.868
1.000,0.990,0.959,0.991,0.902,0.554,0.943,0.827,0.896
1.000,0.978,0.922,0.988,0.947,0.845,0.962,0.925,0.946
1.000,0.985,0.945,0.987,0.788,0.922,0.964,0.938,0.941
1.000,0.978,0.950,0.992,0.862,0.839,0.909,0.944,0.934
1.000,0.991,0.960,0.993,0.672,0.912,0.947,0.935,0.926
1.000,0.993,0.954,0.990,0.806,0.888,0.884,0.875,0.924
1.000,0.992,0.958,0.988,0.856,0.838,0.943,0.849,0.928
1.000,0.993,0.948,0.988,-0.173,0.931,0.909,0.829,0.803
1.000,0.988,0.952,0.992,0.863,0.836,0.929,0.882,0.930
1.000,0.991,0.965,0.994,0.942,0.873,0.930,0.893,0.949
1.000,0.993,0.944,0.988,0.237,0.920,0.930,0.887,0.862
1.000,0.992,0.953,0.990,0.836,0.863,0.920,0.818,0.922
1.000,0.992,0.963,0.994,0.833,0.858,0.897,0.825,0.920
1.000,0.977,0.910,0.985,0.818,0.808,0.998,0.913,0.926
1.000,0.991,0.964,0.994,0.940,0.940,0.951,0.914,0.962
1.000,0.990,0.950,0.990,0.711,0.947,0.955,0.944,0.936
1.000,0.983,0.923,0.989,0.938,0.785,0.964,0.922,0.938
1.000,0.991,0.962,0.995,0.790,0.903,0.952,0.947,0.942
1.000,0.966,0.837,0.960,0.574,0.433,0.957,0.733,0.808
1.000,0.986,0.945,0.992,0.759,0.936,0.975,0.879,0.934
1.000,0.961,0.859,0.974,0.720,0.689,0.997,0.894,0.887
1.000,0.973,0.894,0.977,0.828,0.653,0.993,0.925,0.905
1.000,0.992,0.962,0.993,0.924,0.983,0.968,0.966,0.973
1.000,0.992,0.961,0.992,0.710,0.901,0.951,0.892,0.925
1.000,0.992,0.966,0.993,0.858,0.860,0.870,0.819,0.920
1.000,0.989,0.957,0.991,0.578,0.964,0.953,0.935,0.921
1.000,0.932,0.765,0.910,0.602,0.457,0.959,0.824,0.806
1.000,0.977,0.927,0.988,0.934,0.724,0.934,0.869,0.919
1.000,0.993,0.954,0.989,0.377,0.937,0.918,0.858,0.878
1.000,0.981,0.953,0.994,0.818,0.777,0.889,0.919,0.916
1.000,0.975,0.942,0.989,0.199,0.925,0.956,0.941,0.866
1.000,0.991,0.957,0.994,0.809,0.920,0.878,0.891,0.930
1.000,0.992,0.958,0.991,0.339,0.932,0.920,0.911,0.881
1.000,0.984,0.934,0.988,0.858,0.766,0.985,0.896,0.926
1.000,0.992,0.948,0.990,0.635,0.921,0.964,0.898,0.918
1.000,0.980,0.939,0.991,0.962,0.766,0.950,0.877,0.933
1.000,0.988,0.956,0.992,0.669,0.916,0.946,0.918,0.923
1.000,0.991,0.947,0.988,-0.073,0.924,0.938,0.776,0.811
1.000,0.986,0.928,0.989,-0.369,0.886,0.909,0.850,0.772
1.000,0.989,0.945,0.988,0.733,0.903,0.954,0.912,0.928
1.000,0.990,0.935,0.988,-0.104,0.938,0.914,0.918,0.822
