PAR,AirT,AirRh,AirCO2,LAI,PlantLoad, NetGrouwth,FW,score
1.00,0.94,0.76,0.94,0.80,0.31,0.99,0.80,0.82
1.00,0.99,0.95,0.99,0.22,0.92,0.92,0.86,0.86
1.00,0.99,0.96,0.99,0.87,0.82,0.91,0.83,0.92
1.00,0.99,0.92,0.98,0.49,0.20,0.98,0.77,0.79
1.00,0.99,0.96,0.99,0.75,0.89,0.96,0.91,0.93
1.00,0.96,0.88,0.97,0.89,0.89,0.99,0.93,0.94
1.00,0.99,0.95,0.99,0.45,0.96,0.96,0.95,0.91
1.00,0.99,0.96,0.99,0.72,0.96,0.96,0.96,0.94
1.00,0.96,0.79,0.96,0.56,0.39,0.91,0.80,0.80
1.00,0.99,0.96,0.99,0.90,0.97,0.97,0.99,0.97
1.00,0.99,0.96,0.99,0.72,0.91,0.96,0.94,0.93
1.00,0.99,0.95,0.99,0.83,0.80,0.90,0.82,0.91
1.00,0.99,0.95,0.99,0.82,0.91,0.95,0.91,0.94
1.00,0.99,0.95,0.99,0.79,0.86,0.97,0.88,0.93
1.00,0.99,0.94,0.99,0.74,0.85,0.91,0.81,0.90
1.00,0.99,0.94,0.99,0.80,0.87,0.96,0.86,0.93
1.00,0.99,0.95,0.99,0.85,0.83,0.97,0.81,0.92
1.00,0.99,0.96,0.99,0.66,0.95,0.96,0.87,0.92
1.00,0.97,0.88,0.98,0.70,0.55,0.98,0.88,0.87
1.00,0.99,0.96,0.99,0.79,0.88,0.95,0.93,0.94
1.00,0.99,0.96,0.99,0.84,0.94,0.95,0.92,0.95
1.00,0.99,0.95,0.99,0.59,0.87,0.96,0.80,0.89
1.00,0.94,0.81,0.95,0.65,0.62,0.99,0.84,0.85
1.00,0.99,0.95,0.99,0.38,0.94,0.92,0.86,0.88
1.00,0.99,0.96,0.99,0.45,0.93,0.93,0.87,0.89
1.00,0.99,0.95,0.99,0.85,0.80,0.94,0.82,0.92
1.00,0.99,0.96,0.99,0.88,0.94,0.96,0.95,0.96
1.00,0.99,0.96,0.99,0.71,0.90,0.95,0.89,0.92
1.00,0.99,0.95,0.99,0.65,0.83,0.95,0.74,0.89
1.00,0.99,0.96,0.99,0.86,0.84,0.94,0.85,0.93
1.00,0.99,0.94,0.99,0.85,0.53,0.97,0.74,0.88
1.00,0.99,0.93,0.99,0.55,0.93,0.94,0.90,0.90
1.00,0.99,0.96,0.99,0.79,0.84,0.95,0.85,0.92
1.00,0.99,0.96,0.99,0.68,0.94,0.96,0.92,0.93
1.00,0.98,0.94,0.99,0.86,0.86,0.94,0.89,0.93
1.00,0.99,0.94,0.99,0.49,0.97,0.92,0.85,0.89
1.00,0.93,0.80,0.94,0.53,0.94,0.98,0.88,0.88
1.00,0.99,0.96,0.99,0.88,0.80,0.91,0.73,0.91
1.00,0.99,0.96,0.99,0.80,0.91,0.94,0.92,0.94
1.00,0.95,0.78,0.95,0.73,0.56,0.95,0.84,0.85
1.00,0.99,0.96,0.99,0.50,0.91,0.93,0.93,0.90
1.00,0.99,0.96,0.99,0.71,0.96,0.98,0.94,0.94
1.00,0.99,0.96,0.99,0.79,0.90,0.97,0.91,0.94
1.00,0.97,0.84,0.96,0.73,0.52,0.95,0.66,0.83
1.00,0.99,0.94,0.99,0.24,0.92,0.93,0.89,0.86
1.00,0.99,0.96,0.99,0.86,0.88,0.90,0.81,0.92
1.00,0.99,0.93,0.99,0.70,0.85,0.98,0.89,0.92
1.00,0.95,0.81,0.95,0.56,0.37,0.92,0.84,0.80
1.00,0.99,0.95,0.99,0.83,0.89,0.96,0.89,0.94
1.00,0.99,0.95,0.99,0.62,0.86,0.94,0.84,0.90
