PAR,AirT,AirRh,AirCO2,LAI,PlantLoad, NetGrouwth,FW,score
1.000,0.915,0.669,0.933,0.925,0.987,0.993,0.983,0.925
1.000,0.914,0.691,0.933,0.935,0.985,0.994,0.994,0.931
1.000,0.923,0.707,0.938,0.940,0.977,0.977,0.964,0.928
1.000,0.932,0.690,0.936,0.948,0.971,0.973,0.892,0.918
1.000,0.936,0.712,0.936,0.959,0.929,0.974,0.880,0.916
1.000,0.913,0.681,0.938,0.963,0.981,0.971,0.933,0.922
1.000,0.923,0.742,0.932,0.970,0.953,0.965,0.901,0.923
1.000,0.944,0.688,0.934,0.926,0.961,0.973,0.929,0.919
1.000,0.931,0.634,0.934,0.904,0.978,0.989,0.979,0.919
1.000,0.918,0.712,0.937,0.970,0.896,0.990,0.941,0.921
1.000,0.908,0.772,0.927,0.973,0.881,0.946,0.918,0.916
1.000,0.918,0.705,0.934,0.902,0.952,0.977,0.946,0.917
1.000,0.884,0.717,0.931,0.924,0.934,0.952,0.978,0.915
1.000,0.920,0.758,0.935,0.927,0.928,0.976,0.938,0.923
1.000,0.925,0.690,0.934,0.952,0.967,0.933,0.938,0.917
1.000,0.939,0.747,0.933,0.923,0.953,0.964,0.919,0.922
1.000,0.946,0.693,0.934,0.914,0.961,0.987,0.933,0.921
1.000,0.895,0.740,0.927,0.955,0.938,0.957,0.922,0.917
1.000,0.903,0.734,0.924,0.949,0.953,0.969,0.944,0.922
1.000,0.941,0.689,0.935,0.920,0.962,0.978,0.931,0.919
1.000,0.931,0.742,0.934,0.911,0.966,0.953,0.913,0.919
1.000,0.909,0.699,0.934,0.939,0.940,0.973,0.909,0.913
1.000,0.894,0.695,0.926,0.901,0.914,0.985,0.968,0.910
1.000,0.901,0.712,0.933,0.942,0.915,0.962,0.886,0.906
1.000,0.913,0.694,0.923,0.919,0.956,0.931,0.913,0.906
1.000,0.890,0.748,0.921,0.943,0.896,0.953,0.940,0.911
1.000,0.914,0.743,0.937,0.927,0.907,0.919,0.909,0.907
1.000,0.909,0.652,0.910,0.925,0.922,0.959,0.986,0.908
1.000,0.917,0.740,0.930,0.929,0.952,0.959,0.846,0.909
1.000,0.882,0.668,0.917,0.918,0.992,0.939,0.954,0.909
1.000,0.907,0.764,0.928,0.887,0.821,0.992,0.958,0.907
1.000,0.924,0.700,0.936,0.899,0.972,0.947,0.917,0.912
1.000,0.928,0.766,0.939,0.917,0.943,0.927,0.876,0.912
1.000,0.918,0.779,0.931,0.924,0.942,0.917,0.871,0.910
1.000,0.921,0.708,0.938,0.913,0.956,0.905,0.834,0.897
1.000,0.875,0.645,0.875,0.978,0.927,0.985,0.933,0.902
1.000,0.899,0.730,0.927,0.922,0.875,0.936,0.926,0.902
1.000,0.944,0.698,0.935,0.907,0.944,0.947,0.862,0.905
1.000,0.877,0.716,0.920,0.927,0.803,0.975,0.966,0.898
1.000,0.899,0.730,0.924,0.948,0.860,0.951,0.881,0.899
1.000,0.904,0.746,0.925,0.905,0.944,0.911,0.894,0.904
1.000,0.910,0.610,0.933,0.910,0.970,0.944,0.925,0.900
1.000,0.917,0.732,0.934,0.908,0.856,0.974,0.851,0.896
1.000,0.927,0.692,0.935,0.941,0.913,0.928,0.834,0.896
1.000,0.885,0.707,0.929,0.959,0.875,0.963,0.916,0.904
1.000,0.902,0.712,0.925,0.918,0.920,0.941,0.890,0.901
1.000,0.943,0.674,0.935,0.877,0.940,0.977,0.831,0.897
1.000,0.927,0.643,0.931,0.891,0.960,0.958,0.915,0.903
1.000,0.922,0.666,0.929,0.892,0.963,0.942,0.917,0.904
1.000,0.932,0.677,0.924,0.893,0.964,0.943,0.891,0.903
